epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0327,1.7912,3.624,1.61369,0.00317,0.95,0.72004,0.36217,1.42358,3.2909,1.16296,0.00018,0.00018,0.00018
2,37.3978,1.53357,2.54025,1.46561,0.00317,0.95,0.87962,0.50902,1.10472,3.25751,1.05019,0.000372476,0.000372476,0.000372476
3,47.877,1.39382,2.10854,1.47618,0.00325,0.975,0.76632,0.4103,1.03382,3.27778,1.11523,0.000557032,0.000557032,0.000557032
4,54.6457,1.30908,1.91595,1.38395,1,0.51832,0.8305,0.55819,1.06693,3.16437,1.08859,0.000733668,0.000733668,0.000733668
5,63.2438,1.26994,1.82226,1.35728,1,0.18389,0.76169,0.49029,1.12268,3.1815,1.14139,0.000902384,0.000902384,0.000902384
6,71.2735,1.25191,1.69354,1.34378,1,0.3007,0.84182,0.51336,1.11024,2.90734,1.15345,0.00106318,0.00106318,0.00106318
7,79.9816,1.30288,1.76576,1.38528,0.86335,0.78989,0.8796,0.60008,1.01297,2.38829,1.10358,0.00121606,0.00121606,0.00121606
8,89.4045,1.26073,1.60797,1.35562,0.87426,0.8,0.86336,0.58048,0.97479,1.98845,1.09768,0.00136101,0.00136101,0.00136101
9,97.7041,1.21382,1.48593,1.32477,0.95604,0.825,0.90101,0.57452,1.20598,1.88595,1.26598,0.00149805,0.00149805,0.00149805
10,107.16,1.19236,1.44078,1.33697,0.94211,0.75,0.88426,0.53226,1.28976,2.08166,1.49786,0.00162716,0.00162716,0.00162716
11,116.12,1.18726,1.33568,1.32436,0.98721,0.975,0.97518,0.67664,1.06314,1.28049,1.22504,0.001604,0.001604,0.001604
12,124.525,1.18276,1.35127,1.34441,0.98804,0.9,0.96688,0.66587,0.9935,1.32333,1.23067,0.0015644,0.0015644,0.0015644
13,133.454,1.12222,1.28424,1.27539,0.94997,0.825,0.93154,0.63201,1.00302,1.59125,1.27193,0.0015248,0.0015248,0.0015248
14,142.902,1.1244,1.22243,1.29182,0.97209,0.85,0.93788,0.64456,1.01618,1.20234,1.22101,0.0014852,0.0014852,0.0014852
15,152.185,1.10912,1.16084,1.2583,0.99074,0.9,0.95895,0.66518,1.07012,0.98729,1.27198,0.0014456,0.0014456,0.0014456
16,161.635,1.06641,1.10186,1.25224,0.83351,0.85,0.90959,0.58878,1.20918,1.27156,1.37677,0.001406,0.001406,0.001406
17,169.749,1.03241,1.04366,1.24756,0.86234,0.75,0.81201,0.55889,1.12109,1.62154,1.27067,0.0013664,0.0013664,0.0013664
18,178.646,1.12162,1.0842,1.29162,0.82377,0.81815,0.88176,0.61136,1.05733,1.47604,1.23024,0.0013268,0.0013268,0.0013268
19,188.036,1.06336,1.01002,1.26707,0.95077,0.96579,0.96519,0.65663,1.08512,1.05073,1.24305,0.0012872,0.0012872,0.0012872
20,198.087,1.1075,1.01847,1.29037,0.90612,0.975,0.96804,0.65136,1.07019,0.89482,1.20125,0.0012476,0.0012476,0.0012476
21,208.179,1.11566,1.00898,1.29947,0.94531,0.95,0.96921,0.737,0.99749,0.82592,1.15668,0.001208,0.001208,0.001208
22,217.612,0.98991,0.95428,1.20336,0.97368,0.92493,0.96672,0.68447,1.09999,0.8663,1.22682,0.0011684,0.0011684,0.0011684
23,226.489,0.97044,0.94083,1.19458,0.97488,0.97018,0.97449,0.72466,0.93126,0.83616,1.14054,0.0011288,0.0011288,0.0011288
24,235.879,0.96625,0.94289,1.18172,0.9698,0.975,0.98044,0.74277,0.86366,0.68558,1.07297,0.0010892,0.0010892,0.0010892
25,245.744,0.9727,0.87137,1.18774,0.97217,0.975,0.9743,0.72663,0.89193,0.67257,1.09902,0.0010496,0.0010496,0.0010496
26,254.122,0.95178,0.83977,1.17561,0.99495,0.95,0.97358,0.76484,0.81742,0.65302,1.04089,0.00101,0.00101,0.00101
27,263.516,0.92463,0.82427,1.17397,0.98813,0.95,0.97358,0.74571,0.84945,0.6839,1.07543,0.0009704,0.0009704,0.0009704
28,273.332,0.91247,0.80503,1.17984,0.97451,0.975,0.97505,0.72895,0.86416,0.63669,1.09379,0.0009308,0.0009308,0.0009308
29,281.932,0.90183,0.78995,1.15963,0.97241,0.975,0.9743,0.70827,0.93849,0.63105,1.13311,0.0008912,0.0008912,0.0008912
30,291.571,0.93915,0.79291,1.17023,1,0.97277,0.97515,0.74717,0.79109,0.58883,1.04268,0.0008516,0.0008516,0.0008516
31,301.259,0.89444,0.78899,1.15525,1,0.97352,0.97505,0.74908,0.81304,0.5927,1.04518,0.000812,0.000812,0.000812
32,309.537,0.96108,0.79094,1.20541,0.99923,0.975,0.97506,0.77423,0.7615,0.57347,1.00873,0.0007724,0.0007724,0.0007724
33,318.623,0.84969,0.71217,1.12118,0.97149,0.975,0.97431,0.76777,0.76963,0.59623,1.02184,0.0007328,0.0007328,0.0007328
34,328.864,0.91609,0.79077,1.16374,0.99774,0.975,0.9751,0.75342,0.87462,0.59971,1.09351,0.0006932,0.0006932,0.0006932
35,338.58,0.86441,0.71689,1.14029,0.99796,0.975,0.97506,0.72867,0.91432,0.58289,1.18733,0.0006536,0.0006536,0.0006536
36,347.066,0.82133,0.67264,1.09038,0.994,0.975,0.97506,0.74321,0.88899,0.6208,1.10521,0.000614,0.000614,0.000614
37,356.634,0.86111,0.70858,1.13605,0.9977,0.975,0.97506,0.72044,0.84743,0.64523,1.06784,0.0005744,0.0005744,0.0005744
